"(Intercept)","Depth","temperature"
7.40145459491047,-0.764267704968895,0.0104003097853554
7.35269452861853,-0.726865866018464,0.00788889591126266
7.40004869220136,-0.779859094486182,0.00984278714461777
7.35813928145279,-0.726558379031012,0.00769820233942308
7.44705091132038,-0.787071385754499,0.00951961961468525
7.36266268339744,-0.721748137888859,0.00684694080188662
7.37181019516633,-0.732340145068149,0.00906519887227378
7.40598894670616,-0.752455466101647,0.00858020934837591
7.39301915837021,-0.747175434405276,0.00776475113718757
7.3695452610428,-0.721038183652842,0.00594570199524928
7.38788032934453,-0.779417574240669,0.0122274577320358
7.36830803357911,-0.736930728724225,0.00864298333721719
7.41497994008131,-0.753016347528618,0.0076094734579631
7.37437077982691,-0.735186065414894,0.00612156166897742
7.38997445384297,-0.710123566950147,0.00755968328479017
7.41252511699462,-0.735693857177355,0.00647589845418445
7.4128138876339,-0.790614956869524,0.0120886998674044
7.37801320149107,-0.766223638270029,0.0119927748495473
7.45034040227309,-0.785289191156045,0.00964482182560376
7.3862529293716,-0.759724130202642,0.00880808876544512
7.37577952927842,-0.767382232193741,0.0106719200847303
7.36431876467894,-0.711897001079093,0.00602449532620362
7.44401427855391,-0.764721557517036,0.00838723386071905
7.41773872232995,-0.743567223245814,0.00677686909748999
7.39415652377285,-0.772785251361041,0.0114108821303276
7.37067283599128,-0.740135839324896,0.00958394300030804
7.27713853995022,-0.60622114701076,0
7.4653243702107,-0.770447013049519,0.00662541531565142
7.37574215237694,-0.722019248845677,0.00870214076709852
7.38688747597777,-0.75533596816864,0.00871799182047355
7.39809133197881,-0.728577713664702,0.00721939017790611
7.39445114571367,-0.741639744332381,0.00899249619066401
7.40099589653555,-0.765487926458384,0.0107101199964205
7.42316068669227,-0.749424740372438,0.00627590779737547
7.36017188836109,-0.713311696574917,0.00802794983359144
7.29131192201775,-0.669856381206518,0.00719122461145796
7.39479701437721,-0.726286534448107,0.00782239679641052
7.37257296381479,-0.756629047680847,0.00838778592080281
7.37873953861317,-0.733946853567652,0.00854436789333601
7.38900085267505,-0.758727497577668,0.00938191835758076
7.34561483668474,-0.742868394160646,0.00914584259526566
